day,hour,humidity,temp
01,00:00,54,16.2
01,01:00,48,16.5
01,02:00,43,16.9
01,03:00,37,17.2
01,04:00,47,15.2
01,05:00,56,13.2
01,06:00,66,11.2
01,07:00,64,11.5
01,08:00,61,11.9
01,09:00,59,12.2
01,10:00,52,13.9
01,11:00,44,15.5
01,12:00,37,17.2
01,13:00,34,18.9
01,14:00,30,20.5
01,15:00,27,22.2
01,16:00,26,21.2
01,17:00,25,20.2
01,18:00,24,19.2
01,19:00,26,17.9
01,20:00,28,16.5
01,21:00,30,15.2
01,22:00,35,16.2
01,23:00,39,17.2
02,00:00,44,18.2
02,01:00,51,17.4
02,02:00,58,16.6
02,03:00,65,15.8
02,04:00,66,14.6
02,05:00,66,13.4
02,06:00,67,12.2
02,07:00,64,12.5
02,08:00,61,12.9
02,09:00,58,13.2
02,10:00,50,15.5
02,11:00,43,17.9
02,12:00,35,20.2
02,13:00,31,22.2
02,14:00,28,24.2
02,15:00,24,26.2
02,16:00,23,25.5
02,17:00,23,24.9
02,18:00,22,24.2
02,19:00,22,22.5
02,20:00,23,20.9
02,21:00,23,19.2
02,22:00,28,20.2
02,23:00,32,21.2
03,00:00,37,22.2
03,01:00,45,21.5
03,02:00,52,20.9
03,03:00,59,20.2
03,04:00,62,18.5
03,05:00,64,16.9
03,06:00,66,15.2
03,07:00,63,15.9
03,08:00,61,16.5
03,09:00,58,17.2
03,10:00,50,19.5
03,11:00,43,21.9
03,12:00,35,24.2
03,13:00,31,25.9
03,14:00,27,27.5
03,15:00,23,29.2
03,16:00,21,28.2
03,17:00,18,27.2
03,18:00,16,26.2
03,19:00,16,24.2
03,20:00,17,22.2
03,21:00,17,20.2
03,22:00,21,22.2
03,23:00,24,24.2
04,00:00,28,26.2
04,01:00,34,24.8
04,02:00,39,23.3
04,03:00,45,21.9
04,04:00,51,20.7
04,05:00,57,19.4
04,06:00,63,18.2
04,07:00,61,18.9
04,08:00,58,19.5
04,09:00,56,20.2
04,10:00,49,22.2
04,11:00,41,24.2
04,12:00,34,26.2
04,13:00,30,27.9
04,14:00,25,29.5
04,15:00,21,31.2
04,16:00,19,30.2
04,17:00,18,29.2
04,18:00,16,28.2
04,19:00,16,26.5
04,20:00,17,24.9
04,21:00,17,23.2
04,22:00,19,24.5
04,23:00,22,25.9
05,00:00,24,27.2
05,01:00,29,26.1
05,02:00,35,25.1
05,03:00,40,24.0
05,04:00,44,22.4
05,05:00,47,20.8
05,06:00,51,19.2
05,07:00,50,19.9
05,08:00,49,20.5
05,09:00,48,21.2
05,10:00,42,23.2
05,11:00,37,25.2
05,12:00,31,27.2
05,13:00,27,28.9
05,14:00,24,30.5
05,15:00,20,32.2
05,16:00,19,32.2
05,17:00,17,32.2
05,18:00,16,32.2
05,19:00,17,31.9
05,20:00,17,31.5
05,21:00,18,31.2
05,22:00,22,29.5
05,23:00,25,27.9
06,00:00,29,26.2
06,01:00,33,24.9
06,02:00,38,23.5
06,03:00,42,22.2
06,04:00,48,20.9
06,05:00,53,19.5
06,06:00,59,18.2
06,07:00,57,18.9
06,08:00,55,19.5
06,09:00,53,20.2
06,10:00,47,22.2
06,11:00,40,24.2
06,12:00,34,26.2
06,13:00,30,27.9
06,14:00,26,29.5
06,15:00,22,31.2
06,16:00,20,30.2
06,17:00,18,29.2
06,18:00,16,28.2
06,19:00,17,26.5
06,20:00,18,24.9
06,21:00,19,23.2
06,22:00,22,24.2
06,23:00,26,25.2
07,00:00,29,26.2
07,01:00,32,24.9
07,02:00,34,23.5
07,03:00,37,22.2
07,04:00,40,21.2
07,05:00,44,20.2
07,06:00,47,19.2
07,07:00,47,20.2
07,08:00,47,21.2
07,09:00,47,22.2
07,10:00,43,23.9
07,11:00,39,25.5
07,12:00,35,27.2
07,13:00,31,29.2
07,14:00,27,31.2
07,15:00,23,33.2
07,16:00,20,31.9
07,17:00,18,30.5
07,18:00,15,29.2
07,19:00,16,27.5
07,20:00,18,25.9
07,21:00,19,24.2
07,22:00,22,25.2
07,23:00,25,26.2
08,00:00,28,27.2
08,01:00,31,25.9
08,02:00,35,24.5
08,03:00,38,23.2
08,04:00,42,21.9
08,05:00,46,20.5
08,06:00,50,19.2
08,07:00,49,20.2
08,08:00,49,21.2
08,09:00,48,22.2
08,10:00,42,24.2
08,11:00,37,26.2
08,12:00,31,28.2
08,13:00,28,29.9
08,14:00,24,31.5
08,15:00,21,33.2
08,16:00,21,34.6
08,17:00,20,36.0
08,18:00,20,37.4
08,19:00,20,36.1
08,20:00,20,36.1
08,21:00,20,36.1
08,22:00,20,36.1
08,23:00,21,34.7
09,00:00,24,29.4
09,01:00,29,28.5
09,02:00,29,28.5
09,03:00,29,28.5
09,04:00,29,28.5
09,05:00,35,27.6
09,06:00,58,23.9
09,07:00,53,25.6
09,08:00,53,25.6
09,09:00,53,25.6
09,10:00,53,25.6
09,11:00,48,27.4
09,12:00,30,34.3
09,13:00,28,34.7
09,14:00,28,34.7
09,15:00,28,34.7
09,16:00,28,34.7
09,17:00,25,35.0
09,18:00,17,36.5
09,19:00,23,34.5
09,20:00,23,34.5
09,21:00,23,34.5
09,22:00,23,34.5
09,23:00,28,32.6
10,00:00,51,24.7
10,01:00,53,24.4
10,02:00,53,24.4
10,03:00,53,24.4
10,04:00,53,24.4
10,05:00,55,24.0
10,06:00,63,22.7
10,07:00,57,24.5
10,08:00,57,24.5
10,09:00,57,24.5
10,10:00,57,24.5
10,11:00,50,26.4
10,12:00,26,33.7
10,13:00,24,34.4
10,14:00,24,34.4
10,15:00,24,34.4
10,16:00,24,34.4
10,17:00,22,35.2
10,18:00,13,38.1
10,19:00,19,35.9
10,20:00,19,35.9
10,21:00,19,35.9
10,22:00,19,35.9
10,23:00,25,33.8
11,00:00,29,26.2
11,01:00,32,24.9
11,02:00,34,23.5
11,03:00,37,22.2
11,04:00,40,21.2
11,05:00,44,20.2
11,06:00,47,19.2
