Time,Families inside the building
60,0
120,0
180,0
240,0
300,0
360,0
420,0
480,0
540,0
600,0
660,0
720,0
780,0
840,0
900,0
960,0
1020,0
1080,0
1140,0
1200,0
1260,0
1320,0
1380,0
1440,0
1500,0
1560,0
1620,0
1680,0
1740,0
1800,0
1860,0
1920,0
1980,0
2040,0
2100,0
2160,0
2220,0
2280,0
2340,0
2400,0
2460,0
2520,0
2580,0
2640,0
2700,0
2760,0
2820,0
2880,0
2940,0
3000,0
3060,0
3120,0
3180,0
3240,0
3300,0
3360,0
3420,0
3480,0
3540,0
3600,0
3660,0
3720,0
3780,0
3840,0
3900,0
3960,0
4020,0
4080,0
4140,0
4200,0
4260,0
4320,0
4380,0
4440,0
4500,0
4560,0
4620,0
4680,0
4740,0
4800,0
4860,0
4920,0
4980,0
5040,0
5100,0
5160,0
5220,0
5280,0
5340,1
5400,1
5460,1
5520,1
5580,1
5640,2
5700,2
5760,1
5820,2
5880,2
5940,2
6000,2
6060,4
6120,4
6180,4
6240,5
6300,5
6360,5
6420,5
6480,5
6540,5
6600,5
6660,5
6720,6
6780,7
6840,7
6900,7
6960,7
7020,7
7080,7
7140,7
7200,7
7260,7
7320,7
7380,8
7440,8
7500,8
7560,8
7620,8
7680,8
7740,8
7800,8
7860,8
7920,8
7980,8
8040,8
8100,8
8160,8
8220,8
8280,8
8340,8
8400,8
8460,8
8520,8
8580,8
8640,8
8700,8
8760,8
8820,8
8880,8
8940,8
9000,8
9060,8
9120,8
9180,8
9240,8
9300,8
9360,8
9420,8
9480,8
9540,8
9600,8
9660,8
9720,8
9780,8
9840,7
9900,8
9960,8
10020,8
10080,8
10140,8
10200,8
10260,8
10320,8
10380,8
10440,8
10500,8
10560,8
10620,8
10680,8
10740,8
10800,8
10860,8
10920,8
10980,8
11040,8
11100,7
11160,8
11220,8
11280,8
11340,8
11400,8
11460,8
11520,8
11580,8
11640,8
11700,8
11760,8
11820,8
11880,8
11940,8
12000,8
12060,8
12120,8
12180,8
12240,8
12300,8
12360,8
12420,8
12480,8
12540,8
12600,8
12660,8
12720,8
12780,8
12840,8
12900,8
12960,8
13020,8
13080,8
13140,8
13200,8
13260,8
13320,8
13380,8
13440,8
13500,8
13560,8
13620,8
13680,8
13740,8
13800,8
13860,8
13920,8
13980,8
14040,8
14100,8
14160,8
14220,8
14280,8
14340,8
14400,8
14460,8
14520,8
14580,8
14640,8
14700,8
14760,8
14820,8
14880,8
14940,8
15000,8
15060,8
15120,8
15180,8
15240,8
15300,8
15360,8
15420,8
15480,8
15540,8
15600,8
15660,8
15720,8
15780,8
15840,8
15900,8
15960,8
16020,8
16080,8
16140,8
16200,8
16260,8
16320,8
16380,8
16440,8
16500,8
16560,8
16620,8
16680,8
16740,8
16800,8
16860,8
16920,8
16980,8
17040,8
17100,8
17160,8
17220,8
17280,8
17340,8
17400,8
17460,8
17520,8
17580,8
17640,8
17700,8
17760,8
17820,8
17880,8
17940,8
18000,8
18060,8
18120,8
18180,8
18240,8
18300,8
18360,8
18420,8
18480,8
18540,8
18600,8
18660,8
18720,8
18780,8
18840,8
18900,8
18960,8
19020,8
19080,8
19140,8
19200,8
19260,8
19320,8
19380,8
19440,8
19500,8
19560,8
19620,8
19680,8
19740,8
19800,8
19860,8
19920,8
19980,8
20040,8
20100,8
20160,8
20220,8
20280,8
20340,8
20400,8
20460,8
20520,8
20580,8
20640,8
20700,7
20760,7
