Time,Dis occupants inside the building
60,0
120,0
180,0
240,0
300,0
360,0
420,0
480,0
540,0
600,0
660,0
720,0
780,0
840,0
900,0
960,0
1020,0
1080,0
1140,0
1200,0
1260,0
1320,0
1380,0
1440,0
1500,0
1560,0
1620,0
1680,0
1740,0
1800,0
1860,0
1920,0
1980,0
2040,0
2100,0
2160,0
2220,0
2280,0
2340,0
2400,0
2460,0
2520,0
2580,0
2640,0
2700,0
2760,0
2820,0
2880,0
2940,0
3000,0
3060,0
3120,0
3180,0
3240,0
3300,0
3360,0
3420,0
3480,0
3540,0
3600,0
3660,0
3720,0
3780,0
3840,0
3900,0
3960,0
4020,0
4080,0
4140,0
4200,0
4260,0
4320,0
4380,0
4440,0
4500,0
4560,0
4620,0
4680,0
4740,0
4800,0
4860,0
4920,0
4980,0
5040,0
5100,0
5160,0
5220,0
5280,0
5340,0
5400,0
5460,0
5520,0
5580,0
5640,1
5700,1
5760,1
5820,1
5880,1
5940,1
6000,1
6060,2
6120,2
6180,2
6240,2
6300,2
6360,2
6420,2
6480,2
6540,2
6600,2
6660,2
6720,2
6780,2
6840,2
6900,2
6960,2
7020,2
7080,2
7140,2
7200,2
7260,2
7320,2
7380,2
7440,2
7500,2
7560,2
7620,2
7680,2
7740,2
7800,2
7860,2
7920,2
7980,2
8040,2
8100,2
8160,2
8220,2
8280,2
8340,2
8400,2
8460,2
8520,2
8580,2
8640,2
8700,2
8760,2
8820,2
8880,2
8940,2
9000,2
9060,2
9120,2
9180,2
9240,2
9300,2
9360,2
9420,2
9480,2
9540,2
9600,2
9660,2
9720,2
9780,2
9840,1
9900,2
9960,2
10020,2
10080,2
10140,2
10200,2
10260,2
10320,2
10380,2
10440,2
10500,2
10560,2
10620,2
10680,2
10740,2
10800,2
10860,2
10920,2
10980,2
11040,2
11100,2
11160,2
11220,2
11280,2
11340,2
11400,2
11460,2
11520,2
11580,2
11640,2
11700,2
11760,2
11820,2
11880,2
11940,2
12000,2
12060,2
12120,2
12180,2
12240,2
12300,2
12360,2
12420,2
12480,2
12540,2
12600,2
12660,2
12720,2
12780,2
12840,2
12900,2
12960,2
13020,2
13080,2
13140,2
13200,2
13260,2
13320,2
13380,2
13440,2
13500,2
13560,2
13620,2
13680,2
13740,2
13800,2
13860,2
13920,2
13980,2
14040,2
14100,2
14160,2
14220,2
14280,2
14340,2
14400,2
14460,2
14520,2
14580,2
14640,2
14700,2
14760,2
14820,2
14880,2
14940,2
15000,2
15060,2
15120,2
15180,2
15240,2
15300,2
15360,2
15420,2
15480,2
15540,2
15600,2
15660,2
15720,2
15780,2
15840,2
15900,2
15960,2
16020,2
16080,2
16140,2
16200,2
16260,2
16320,2
16380,2
16440,2
16500,2
16560,2
16620,2
16680,2
16740,2
16800,2
16860,2
16920,2
16980,2
17040,2
17100,2
17160,2
17220,2
17280,2
17340,2
17400,2
17460,2
17520,2
17580,2
17640,2
17700,2
17760,2
17820,2
17880,2
17940,2
18000,2
18060,2
18120,2
18180,2
18240,2
18300,2
18360,2
18420,2
18480,2
18540,2
18600,2
18660,2
18720,2
18780,2
18840,2
18900,2
18960,2
19020,2
19080,2
19140,2
19200,2
19260,2
19320,2
19380,2
19440,2
19500,2
19560,2
19620,2
19680,2
19740,2
19800,2
19860,2
19920,2
19980,2
20040,2
20100,2
20160,2
20220,2
20280,2
20340,2
20400,2
20460,2
20520,2
20580,2
20640,2
20700,2
