Time,Occupants working
60,0
120,0
180,0
240,0
300,0
360,0
420,0
480,0
540,0
600,0
660,0
720,0
780,0
840,0
900,0
960,0
1020,0
1080,0
1140,0
1200,0
1260,0
1320,0
1380,0
1440,0
1500,0
1560,0
1620,0
1680,0
1740,0
1800,1
1860,1
1920,1
1980,1
2040,1
2100,1
2160,1
2220,1
2280,1
2340,1
2400,1
2460,1
2520,1
2580,1
2640,1
2700,1
2760,1
2820,1
2880,1
2940,2
3000,2
3060,2
3120,2
3180,3
3240,2
3300,3
3360,3
3420,4
3480,4
3540,4
3600,4
3660,4
3720,4
3780,4
3840,4
3900,4
3960,4
4020,4
4080,4
4140,4
4200,4
4260,4
4320,4
4380,4
4440,4
4500,4
4560,4
4620,5
4680,5
4740,5
4800,5
4860,5
4920,5
4980,5
5040,5
5100,6
5160,6
5220,6
5280,6
5340,6
5400,6
5460,6
5520,6
5580,6
5640,6
5700,6
5760,6
5820,6
5880,6
5940,6
6000,6
6060,6
6120,6
6180,6
6240,6
6300,6
6360,6
6420,6
6480,6
6540,6
6600,6
6660,6
6720,6
6780,6
6840,6
6900,6
6960,6
7020,6
7080,6
7140,6
7200,6
7260,6
7320,6
7380,6
7440,6
7500,6
7560,6
7620,6
7680,6
7740,6
7800,6
7860,5
7920,4
7980,4
8040,4
8100,4
8160,4
8220,4
8280,4
8340,4
8400,3
8460,3
8520,3
8580,3
8640,3
8700,3
8760,3
8820,3
8880,3
8940,3
9000,3
9060,3
9120,3
9180,3
9240,3
9300,3
9360,3
9420,3
9480,3
9540,3
9600,3
9660,3
9720,3
9780,3
9840,3
9900,3
9960,3
10020,3
10080,3
10140,3
10200,3
10260,3
10320,3
10380,3
10440,3
10500,3
10560,3
10620,3
10680,3
10740,3
10800,2
10860,2
10920,2
10980,2
11040,2
11100,2
11160,2
11220,2
11280,2
11340,2
11400,2
11460,2
11520,2
11580,2
11640,2
11700,2
11760,2
11820,2
11880,2
11940,2
12000,2
12060,2
12120,2
12180,2
12240,2
12300,2
12360,2
12420,2
12480,2
12540,2
12600,2
12660,2
12720,2
12780,2
12840,2
12900,2
12960,2
13020,2
13080,2
13140,3
13200,3
13260,3
13320,3
13380,3
13440,2
13500,3
13560,3
13620,3
13680,3
13740,3
13800,3
13860,3
13920,3
13980,3
14040,3
14100,3
14160,3
14220,3
14280,3
14340,3
14400,3
14460,3
14520,3
14580,3
14640,3
14700,3
14760,3
14820,3
14880,3
14940,3
15000,3
15060,3
15120,3
15180,3
15240,3
15300,3
15360,3
15420,3
15480,3
15540,3
15600,3
15660,3
15720,3
15780,3
15840,3
15900,3
15960,3
16020,3
16080,3
16140,3
16200,3
16260,3
16320,0
16380,0
16440,0
16500,0
16560,0
16620,0
16680,0
16740,0
16800,0
16860,0
16920,0
16980,0
17040,0
17100,0
17160,0
17220,0
17280,0
17340,0
17400,0
17460,0
17520,0
17580,0
17640,0
17700,0
