"(1, 10)","(1, 10)","[(1, 10)]"
"(1, 10)","(3, 21)","[(2, 10), (3, 9), (4, 9), (5, 9), (6, 9), (7, 10), (8, 11), (9, 12), (10, 13), (10, 14), (11, 14), (12, 14), (13, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 20), (13, 20), (12, 20), (11, 20), (10, 20), (9, 20), (8, 20), (7, 20), (6, 20), (5, 20), (4, 20), (3, 21)]"
"(1, 10)","(3, 23)","[(2, 10), (3, 9), (4, 9), (5, 9), (6, 9), (7, 10), (8, 11), (9, 12), (10, 13), (10, 14), (11, 14), (12, 14), (13, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 20), (13, 20), (12, 20), (11, 20), (10, 20), (9, 20), (8, 20), (7, 20), (6, 20), (5, 20), (4, 21), (3, 22), (3, 23)]"
"(1, 10)","(3, 24)","[(2, 10), (3, 9), (4, 9), (5, 9), (6, 9), (7, 10), (8, 11), (9, 12), (10, 13), (10, 14), (11, 14), (12, 14), (13, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 20), (13, 20), (12, 20), (11, 20), (10, 20), (9, 20), (8, 20), (7, 20), (6, 20), (5, 20), (4, 21), (3, 22), (3, 23), (3, 24)]"
"(1, 10)","(4, 10)","[(2, 10), (3, 9), (4, 10)]"
"(1, 10)","(4, 12)","[(1, 11), (2, 12), (3, 13), (4, 12)]"
"(1, 10)","(4, 19)","[(2, 10), (3, 9), (4, 9), (5, 9), (6, 9), (7, 10), (8, 11), (9, 12), (10, 13), (10, 14), (11, 14), (12, 14), (13, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 20), (13, 20), (12, 20), (11, 20), (10, 20), (9, 20), (8, 20), (7, 20), (6, 20), (5, 20), (4, 19)]"
"(1, 10)","(4, 26)","[(2, 10), (3, 9), (4, 9), (5, 9), (6, 9), (7, 10), (8, 11), (9, 12), (10, 13), (10, 14), (11, 14), (12, 14), (13, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 20), (14, 21), (14, 22), (13, 22), (12, 23), (11, 24), (10, 25), (9, 26), (8, 26), (7, 26), (6, 26), (5, 26), (4, 26)]"
"(1, 10)","(4, 30)","[(2, 10), (3, 9), (4, 9), (5, 9), (6, 9), (7, 10), (8, 11), (9, 12), (10, 13), (10, 14), (11, 14), (12, 14), (13, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 20), (14, 21), (14, 22), (14, 23), (14, 24), (14, 25), (14, 26), (14, 27), (14, 28), (14, 29), (13, 29), (12, 29), (11, 29), (10, 29), (9, 30), (8, 30), (7, 31), (6, 32), (5, 31), (4, 30)]"
"(1, 10)","(4, 40)","[(2, 10), (3, 9), (4, 9), (5, 9), (6, 9), (7, 10), (8, 11), (9, 12), (10, 13), (10, 14), (11, 14), (12, 14), (13, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 20), (14, 21), (14, 22), (14, 23), (14, 24), (14, 25), (14, 26), (14, 27), (14, 28), (14, 29), (13, 29), (12, 29), (11, 30), (10, 31), (9, 32), (8, 33), (7, 34), (6, 35), (5, 36), (4, 37), (3, 38), (3, 39), (4, 40)]"
